date	milk
2014-04-01	2285.8
2014-05-01	2284.95
2014-06-01	2083.36
2014-07-01	2032.05
2014-08-01	1972.41
2014-09-01	1910.75
2014-10-01	2005.27
2014-11-01	1991.97
2014-12-01	2137.82
2015-01-01	2202.11
2015-02-01	2006
2015-03-01	2243.93
2015-04-01	2263.4
2015-05-01	2300.44
2015-06-01	2125.91
2015-07-01	2030.89
2015-08-01	1972.15
2015-09-01	1938.19
2015-10-01	2067.03
2015-11-01	2034.02
2015-12-01	2190.84
2016-01-01	2206.98
2016-02-01	2069.78
2016-03-01	2197.12
2016-04-01	2205.57
2016-05-01	2253.82
2016-06-01	2016.38
2016-07-01	1977.72
2016-08-01	1910.33
2016-09-01	1795.69
2016-10-01	1906
2016-11-01	1870.07
2016-12-01	2043.88
2017-01-01	2117.94
2017-02-01	1962.87
2017-03-01	2205.5
2017-04-01	2210.75
2017-05-01	2222.71
2017-06-01	2010.72
2017-07-01	1966.85
2017-08-01	1916.32
2017-09-01	1877.48
2017-10-01	2016.03
2017-11-01	1990.47
2017-12-01	2131.86
2018-01-01	2208.9
2018-02-01	2018.99
2018-03-01	2216.36
2018-04-01	2190.13
2018-05-01	2232.13
2018-06-01	2027.82
2018-07-01	1982.75
2018-08-01	1906.55
2018-09-01	1844.05
2018-10-01	1940.19
2018-11-01	1912.07
2018-12-01	2062.62
2019-01-01	2151.75
2019-02-01	1966.5
2019-03-01	2208.95
2019-04-01	2195
2019-05-01	2211.56
2019-06-01	2031.53
2019-07-01	1959.82
2019-08-01	1924.83
2019-09-01	1861.01
2019-10-01	1967.86
2019-11-01	1944.64
2019-12-01	2093.73
2020-01-01	2183.85
2020-02-01	2069.26
2020-03-01	2229.14
2020-04-01	2180.1
2020-05-01	2171.04
2020-06-01	2015.42
2020-07-01	2002.32
2020-08-01	1907.11
